번호,지역1(시도),지역2(시군구),업종,호텔명(등록명칭),관광사업자명(법인명 or 개인명),영업상태(19.12.31기준),주소(도로명주소)
53,강원,홍천군,가족호텔,화양강호텔,화양강호텔 주식회사,영업중,강원도 홍천군 홍천읍 소옥개로 142
54,강원,홍천군,가족호텔,세이지우드 호텔 홍천,와이케이디벨롭,영업중,강원도 홍천군 두촌면 광석로 898-87
55,강원,평창군,가족호텔,㈜현대엘리엇호텔앤드리조트,주식회사 현대엘리엇호텔앤드리조트,영업중,강원도 평창군 대관령면 경강로 4887-5
56,강원,정선군,가족호텔,골든메이플관광호텔,이용석,영업중,강원도 정선군 남면 무릉1로 85
57,강원,정선군,가족호텔,엘스호텔,이관순 외1,영업중,강원도 정선군 사북읍 사북1길 21
58,강원,고성군,가족호텔,소노캄 호텔 델피노,㈜소노호텔앤리조트,영업중,강원도 고성군 토성면 미시령옛길 1153
59,강원,고성군,가족호텔,레이크오션 가족호텔,㈜잼버리리조트,영업중,강원도 고성군 토성면 잼버리동로 583-20
60,강원,양양군,가족호텔,오색그린야드호텔,이종균,영업중,양양군 서면 대청봉길 34
61,강원,춘천시,호스텔,봄엔게스트하우스,동네방네협동조합,영업중,춘천시 근화동 264-32
62,강원,춘천시,호스텔,에스파스호스텔,박형우,영업중,춘천시 효자동 683-8
63,강원,강릉시,호스텔,게스트하우스 안도,"조우석, 이지연",영업중,강릉시 율곡로 2899-1(교동 191-22번지)
64,강원,강릉시,호스텔,썬앤제이드,최규옥,영업중,강릉시 옥계면 헌화로 189
65,강원,동해시,호스텔,아라비카 호스텔,장양순,영업중,강원 동해시 동굴로 138
66,강원,동해시,호스텔,이스트하우스 호스텔,김철문,영업중,강원 동해시 동해대로 6267
67,강원,속초시,호스텔,화이트스테이션 호스텔,최영,영업중,강원도 속초시 미리내길 17-1 (청호동)
68,강원,속초시,호스텔,스테이호스텔,주옥희 외 1 명,영업중,강원도 속초시 설악금강대교로 193 (동명동)
69,강원,속초시,호스텔,더 티(the T),권혜주,영업중,강원도 속초시 해오름로 151 (조양동)
70,강원,속초시,호스텔,속초비치호스텔,최정자,영업중,강원도 속초시 해오름로 129 (대포동)
71,강원,정선군,호스텔,예미MTB마을호스텔,정선군수,영업중,강원도 정선군 신동읍 용수길 68
72,강원,화천군,호스텔,화천열차펜션,코레일관광개발㈜,휴업,강원도 화천군 하남면 춘화로 3331-12
73,강원,양구군,호스텔,LACKY HOSTEL(락희호스텔),최성대,영업중,강원도 양구군 양구읍 비봉로 99-3
74,강원,양양군,호스텔,파크애비뉴,정대준,영업중,양양군 현남면 북분안길 29
75,강원,양양군,호스텔,서프더맨션,"조좌겸, 김진",영업중,양양군 현남면 인구중앙길 79
76,강원,양양군,호스텔,메종드메르,김미옥,영업중,양양군 현남면 동해대로 694
77,강원,양양군,호스텔,핀스하우스호스텔,유남열,영업중,양양군 현남면 인구중앙길 99
78,강원,강릉시,소형호텔,하슬라아트월드,박신정,영업중,강릉시 강동면 율곡로 1441
79,강원,속초시,소형호텔,브루클린호텔,최원우,영업중,강원도 속초시 청초호반로 107 (조양동)
80,강원,춘천시,콘도미니엄,엘스위트강촌휴양콘도,지에스건설주식회사,영업중,춘천시 남산면 백양리 산1-2
81,강원,춘천시,콘도미니엄,라비에벨 콘도 1차,"코오롱글로벌 주식회사
그린나래 주식회사",영업중,춘천시 동산면 조양리 산166-1
82,강원,원주시,콘도미니엄,"HDC리조트 콘도미니엄(A, B)",에이치디씨리조트 주식회사,영업중,원주시 지정면 오크밸리1길 66
83,강원,원주시,콘도미니엄,HDC리조트 콘도미니엄(North),에이치디씨리조트 주식회사,영업중,원주시 지정면 월송석화로 994
84,강원,원주시,콘도미니엄,HDC리조트 콘도미니엄(South),에이치디씨리조트 주식회사,영업중,원주시 지정면 오크밸리1길 68
85,강원,원주시,콘도미니엄,HDC리조트 콘도미니엄(C),에이치디씨리조트 주식회사,영업중,원주시 지정면 오크밸리2길 56
86,강원,원주시,콘도미니엄,HDC리조트 콘도미니엄(D),에이치디씨리조트 주식회사,영업중,원주시 지정면 오크밸리2길 40
87,강원,강릉시,콘도미니엄,경포산장콘도,이용제,영업중,강릉시 하남길 345-18
88,강원,강릉시,콘도미니엄,라카이샌드파인,허인영,영업중,강릉시 해안로 536
89,강원,강릉시,콘도미니엄,썬크루즈호텔&리조트,박기열,영업중,강릉시 강동면 헌화로 950-39
90,강원,동해시,콘도미니엄,망상오토캠핑리조트,,휴업,강원도 동해시 동해대로 6370(망상동)
91,강원,태백,콘도미니엄,주식회사 오투리조트,이종혁,영업중,강원도 태백시 서학로 861
92,강원,속초시,콘도미니엄,주식회사 신세계영랑호리조트,주식회사 신세계영랑호리조트,영업중,강원도 속초시 영랑호반길 170 (금호동)
93,강원,속초시,콘도미니엄,한화호텔앤드리조트(주) 콘도미니엄,한화호텔앤드리조트(주),영업중,강원도 속초시 미시령로2983번길 111 (장사동)
94,강원,속초시,콘도미니엄,한화호텔앤드리조트(주) 별관,한화호텔앤드리조트(주),영업중,강원도 속초시 미시령로2983번길 111 (장사동)
95,강원,속초시,콘도미니엄,설악파인리조트 콘도미니엄,미래개발 주식회사,휴업,강원도 속초시 관광로408번길 14 (노학동)
96,강원,속초시,콘도미니엄,사조마을설악콘도미니엄,주식회사 그린앤블루,휴업,강원도 속초시 싸리재길 247-41 (노학동)
97,강원,속초시,콘도미니엄,설악온천리조트 앤 호텔,주식회사 에스티엔알,영업중,강원도 속초시 관광로408번길 23 (노학동)
98,강원,속초시,콘도미니엄,(주)현대수콘도미니엄,주식회사현대훼미리타운(대표이사권민덕),영업중,"강원도 속초시 이목로 153, 현대훼미리타운콘도미니엄 (노학동)"
99,강원,속초시,콘도미니엄,금호리조트(주)설악,금호리조트 주식회사,영업중,강원도 속초시 사당골길 43 (노학동)
100,강원,속초시,콘도미니엄,연호콘도미니엄,주식회사 연호콘도미니엄,영업중,강원도 속초시 싸리재길 247-20 (노학동)
101,강원,속초시,콘도미니엄,(주)이랜드파크 한국콘도 설악,주식회사 이랜드파크,휴업,강원도 속초시 설악산로 852-8 (설악동)
102,강원,속초시,콘도미니엄,더클래스300콘도미니엄,더클래스호텔 주식회사,영업중,강원도 속초시 동해대로 3919 (조양동)
103,강원,속초시,콘도미니엄,롯데리조트 속초,주식회사 호텔롯데,영업중,"강원도 속초시 대포항길 186, 롯데리조트속초 (대포동)"
104,강원,삼척시,콘도미니엄,씨스포빌 콘도,박상무 외 1,영업중,강원도 삼척시 근덕면 상맹방길30-80
105,강원,삼척시,콘도미니엄,쏠비치 리조트 삼척,최주영,영업중,강원도 삼척시 수로부인길 453 (갈천동)
106,강원,홍천군,콘도미니엄,소노벨 타워 C 비발디파크,㈜소노호텔앤리조트,영업중,강원도 홍천군 서면 한치골길 262
107,강원,홍천군,콘도미니엄,소노벨 타워 B 비발디파크,㈜소노호텔앤리조트,영업중,강원도 홍천군 서면 한치골길 262
108,강원,홍천군,콘도미니엄,소노벨 타워 D 비발디파크,㈜소노호텔앤리조트,영업중,강원도 홍천군 서면 한치골길 262
109,강원,홍천군,콘도미니엄,소노펠리체 비발디파크,㈜소노호텔앤리조트,영업중,강원도 홍천군 서면 한치골길 262
110,강원,홍천군,콘도미니엄,소노벨 타워 A 비발디파크,㈜소노호텔앤리조트,영업중,강원도 홍천군 서면 한치골길 262
111,강원,홍천군,콘도미니엄,소노펠리체 빌리지 A~D 비발디파크,㈜소노호텔앤리조트,영업중,강원도 홍천군 서면 한치골길 262
112,강원,홍천군,콘도미니엄,소노펠리체 빌리지 E~H 비발디파크,㈜소노호텔앤리조트,영업중,강원도 홍천군 서면 한치골길 262
113,강원,홍천군,콘도미니엄,소노펠리체 빌리지 I~O 비발디파크,㈜소노호텔앤리조트,영업중,강원도 홍천군 서면 한치골길 262
114,강원,횡성군,콘도미니엄,주식회사 코레스코(치악산콘도미니엄),㈜코레스코,영업중,강원도 횡성군 우천면 전재로 254
115,강원,횡성군,콘도미니엄,신안종합리조트 타워형콘도미니엄,신안종합리조트㈜,영업중,강원도 횡성군 둔내면 고원로 451
116,강원,횡성군,콘도미니엄,알프스대영 골프빌리지,삼대양레저㈜,영업중,강원도 횡성군 우천면 한우로 1295
117,강원,횡성군,콘도미니엄,횡성 서초휴양소,서초구청,영업중,강원도 횡성군 안흥면 서동로상한6길 31
118,강원,횡성군,콘도미니엄,웰리힐리CC 페어웨이빌라 히든힐스,신안종합리조트㈜,영업중,강원도 횡성군 둔내면 조항로 316
119,강원,영월군,콘도미니엄,에스엠 동강시스타,최승석,영업중,강원도 영월군 영월읍 사지막길 160
120,강원,영월군,콘도미니엄,재단법인 산림힐링재단 ,고광필,휴업,강원도 영월군 상동읍 섬지골길 113
121,강원,평창군,콘도미니엄,용평1차콘도미니엄(용평콘도),㈜용평리조트,영업중,강원도 평창군 대관령면 용산리 20
122,강원,평창군,콘도미니엄,용평2차콘도미니엄(타워콘도+빌라콘도),㈜용평리조트,영업중,강원도 평창군 대관령면 용산리 121
123,강원,평창군,콘도미니엄,용평3차콘도미니엄(버치힐),㈜용평리조트,영업중,강원도 평창군 대관령면 용산리 12-1
124,강원,평창군,콘도미니엄,용평4차콘도미니엄(타워형)(그린피아콘도),㈜용평리조트,영업중,강원도 평창군 대관령면 용산리 130
125,강원,평창군,콘도미니엄,용평4차콘도미니엄(빌라형)(베르데힐콘도),㈜용평리조트,영업중,강원도 평창군 대관령면 용산리 526-1
126,강원,평창군,콘도미니엄,용평5차콘도미니엄(단독형)(포레스트 1차),㈜용평리조트,영업중,강원도 평창군 대관령면 용산리 139-1
127,강원,평창군,콘도미니엄,용평5차콘도미니엄(연립형)(포레스트 2차),㈜용평리조트,영업중,강원도 평창군 대관령면 용산리 139-3
128,강원,평창군,콘도미니엄,용평버치힐테라스레지던트콘도,㈜용평리조트,영업중,강원도 평창군 대관령면 수하리 142-37
129,강원,평창군,콘도미니엄,홀리데이인스위트,강원도개발공사,영업중,강원도 평창군 대관령면 솔봉로 325
130,강원,평창군,콘도미니엄,알펜시아리조트빌리지콘도(타운),강원도개발공사,영업중,강원도 평창군 대관령면 솔봉로 325
131,강원,평창군,콘도미니엄,알펜시아에스테이트,강원도개발공사,영업중,강원도평창군 대관령면 솔봉로 325
132,강원,평창군,콘도미니엄,휘닉스파크 1차콘도미니엄,휘닉스중앙㈜,영업중,강원도 평창군 봉평면 면온리 1095
133,강원,평창군,콘도미니엄,노블스윙,휘닉스중앙㈜,영업중,강원도 평창군 봉평면 면온리 959
134,강원,평창군,콘도미니엄,아이원리조트콘도미니엄,㈜화인종합건설,영업중,강원도 평창군 대관령면 솔봉로 471
135,강원,평창군,콘도미니엄,한화호텔앤리조트㈜평창한화,한화호텔앤드리조트 주식회사,영업중,강원도 평창군 봉평면 태기로 228-33
136,강원,정선군,콘도미니엄,하이원콘도미니엄,강원랜드,영업중, 강원도 정선군 고한읍 하이원길 265-1
137,강원,정선군,콘도미니엄,정선리조트(MAYHILLS),(주)대림산업,영업중, 강원도 정선군 고한읍 물한리길 8
138,강원,정선군,콘도미니엄,하이캐슬리조트,정선랜드,영업중, 강원도 정선군 사북읍 하이원길 202
139,강원,정선군,콘도미니엄,파크로쉬 리조트앤웰니스,㈜에이치디씨현대산업개발,영업중,강원도 정선군 북평면 중봉길 9-12
140,강원,인제군,콘도미니엄,인제스피디움콘도,"윤재연, 김츈수",영업중,강원도 인제군 기린면 상하답로 130
141,강원,고성군,콘도미니엄,소노문 델피노,㈜소노호텔앤리조트,영업중,강원도 고성군 토성면 미시령옛길 1153
142,강원,고성군,콘도미니엄,소노캄리조트 델피노,㈜소노호텔앤리조트,영업중,강원도 고성군 토성면 미시령옛길 1153
143,강원,고성군,콘도미니엄,소노펠리체 빌리지 델피노,㈜소노호텔앤리조트,영업중,강원도 고성군 토성면 미시령옛길 1153
144,강원,고성군,콘도미니엄,파인리즈리조트,㈜진흥레저파인리즈,영업중,강원도 고성군 토성면 잼버리동로 267
145,강원,고성군,콘도미니엄,㈜미봉,㈜미봉,영업중,강원도 고성군 현내면 금강산로 416
146,강원,고성군,콘도미니엄,설악썬밸리리조트,㈜동광개발,영업중,강원도 고성군 죽왕면 순포로 188
147,강원,고성군,콘도미니엄,아이파크콘도,현대개발산업㈜,영업중,강원도 고성군 토성면 고성대로 75-16
148,강원,고성군,콘도미니엄,일성레저산업 설악지점,일성레저산업㈜,영업중,강원도 고성군 토성면 고성대로 47-24
149,강원,고성군,콘도미니엄,포유리조트,㈜포유레저,영업중,강원도 고성군 토성면 잼버리동로 97
150,강원,고성군,콘도미니엄,오션투유,㈜코레스코,영업중,강원도 고성군 죽왕면 삼포해변길 9
151,강원,고성군,콘도미니엄,켄싱턴리조트 설악비치,㈜이랜드파크,영업중,강원도 고성군 토성면 동해대로 4800
152,강원,고성군,콘도미니엄,제1설악밸리 켄싱턴리조트,㈜이랜드파크,영업중,강원도 고성군 토성면 신평골길 8-25   
153,강원,고성군,콘도미니엄,㈜이랜드파크 켄싱턴리조트 설악밸리,㈜이랜드파크,영업중,강원도 고성군 토성면 신평골길 8-25   
154,강원,고성군,콘도미니엄,알프스리조트,㈜알프스리조트,휴업,강원도 고성군 간성읍 흘리령길 52   
155,강원,양양군,콘도미니엄,쏠비치 리조트 양양,㈜소노호텔앤리조트,영업중,양양군 손양면 선사유적로 678
156,강원,양양군,콘도미니엄,골든비치리조트,㈜새서울레저,영업중,양양군 손양면 공항로 230
157,울산,중구,관광호텔,호텔다움,이충희,영업중,울산 중구 번영로 538(반구동)
158,울산,남구,관광호텔,롯데호텔 울산,㈜호텔롯데,영업중,울산광역시 남구 삼산로 282
159,울산,남구,관광호텔,울산시티호텔,주식회사 도현,영업중,울산광역시 남구 삼산로 246
160,울산,남구,관광호텔,해야관광호텔,이수부,영업중,울산광역시 남구 삼산로395번길 11
161,울산,남구,관광호텔,㈜호텔롯데 롯데시티호텔,㈜호텔롯데,영업중,울산광역시 남구 삼산로 204
162,울산,남구,관광호텔,신라스테이 울산,신라스테이㈜,영업중,울산광역시 남구 삼산로 200
163,울산,남구,관광호텔,판도라 호텔,대송테크㈜,영업중,울산광역시 남구 삼산로392번길 8
164,울산,남구,관광호텔,H호텔,박정이,영업중,울산광역시 남구 화합로178번길 7
165,울산,남구,관광호텔,스타즈호텔울산,스타즈호텔 울산,영업중,울산광역시 남구 남중로 65
166,울산,남구,관광호텔,여우비 관광호텔,김미숙 외 1,영업중,울산광역시 남구 산업로647번길 14
167,울산,남구,관광호텔,브라운도트,㈜꿈꾸는아저씨,영업중,울산광역시 남구 삼산로383번길 6-17
168,울산,남구,관광호텔,토요코인 울산삼산동,㈜승현,영업중,울산광역시 남구 삼산로 308
169,울산,남구,관광호텔,에쉬튼(ASHTON) 호텔,㈜미래로,영업중,울산광역시 남구 중앙로213번길 8
170,울산,동구,관광호텔,주식회사 라한호텔(울산),주식회사 라한호텔,영업중,울산 동구 방어진순환도로 875
171,울산,동구,관광호텔,굿모닝 호텔,"김영수, 한승현",영업중,울산 동구 바드래1길 15
172,울산,북구,관광호텔,머큐어 앰버서더 호텔 울산,주)랜드파트너스,영업중,울산광역시 북구 강동산하2로 7
173,울산,울주군,관광호텔,(주)아마란스 호텔,김희영,영업중,울산광역시 울주군 상북면 석남로 752-8
174,울산,울주군,관광호텔,간절곶관광호텔,김효정 외 1 명,영업중,울산광역시 울주군 서생면 간절곶해안길 37
175,울산,울주군,가족호텔,블루오션뷰,유혜균,영업중,울산광역시 울주군 서생면 진하해변길 74
176,경상북도,포항시,관광호텔,코모도호텔 포항 송도,㈜코모도호텔포항송도,영업중,포항시 남구 송도로 71(송도동)
177,경상북도,포항시,관광호텔,베니키아 호텔 포항,에이티홀딩스주식회사,영업중,포항시 남구 중앙로 128(해도동)
178,경상북도,포항시,관광호텔,라한호텔 포항,㈜라한호텔4호,영업중,포항시 북구 삼호로265번길 1(두호동)
