관광지,음식점,문화시설,레포츠,숙박,축제공연행사,쇼핑,여행코스,방문자,도시
102.0,205.0,15.0,11.0,59.0,7.0,8.0,6.0,19048377,경상북도 안동시
30.0,9.0,7.0,12.0,7.0,0.0,4.0,2.0,26550515,경상북도 구미시
57.0,48.0,3.0,4.0,15.0,3.0,5.0,8.0,8919863,경상북도 영주시
54.0,3.0,5.0,7.0,2.0,1.0,5.0,3.0,12029117,경상북도 영천시
59.0,12.0,6.0,20.0,2.0,0.0,5.0,7.0,12324527,경상북도 상주시
41.0,21.0,7.0,11.0,10.0,5.0,7.0,5.0,11166104,경상북도 문경시
24.0,18.0,6.0,1.0,1.0,1.0,4.0,4.0,31757386,경상북도 경산시
36.0,3.0,3.0,3.0,1.0,0.0,1.0,3.0,6806071,경상북도 군위군
38.0,2.0,5.0,2.0,1.0,0.0,2.0,6.0,6654678,경상북도 의성군
44.0,12.0,3.0,3.0,11.0,1.0,2.0,5.0,4857143,경상북도 청송군
15.0,1.0,2.0,0.0,2.0,1.0,1.0,3.0,1658312,경상북도 영양군
49.0,6.0,4.0,6.0,15.0,1.0,3.0,5.0,9571372,경상북도 영덕군
42.0,7.0,2.0,10.0,6.0,1.0,5.0,3.0,9232241,경상북도 청도군
21.0,2.0,4.0,4.0,18.0,1.0,0.0,4.0,5255130,경상북도 고령군
29.0,9.0,3.0,3.0,5.0,0.0,0.0,2.0,6957042,경상북도 성주군
24.0,4.0,5.0,9.0,6.0,2.0,4.0,5.0,17717707,경상북도 칠곡군
41.0,4.0,3.0,2.0,6.0,2.0,1.0,5.0,6439035,경상북도 예천군
46.0,6.0,1.0,5.0,11.0,2.0,3.0,10.0,4149336,경상북도 봉화군
50.0,7.0,5.0,3.0,8.0,0.0,2.0,7.0,7597118,경상북도 울진군
49.0,1.0,4.0,3.0,6.0,0.0,0.0,2.0,1751214,경상북도 울릉군
151.0,159.0,42.0,22.0,53.0,13.0,31.0,10.0,35672614,광주광역시 동구
81.0,84.0,39.0,19.0,36.0,19.0,11.0,11.0,48123984,광주광역시 서구
75.0,112.0,24.0,7.0,18.0,7.0,10.0,3.0,21552186,광주광역시 남구
